link;Артикул;Тип;Цоколь;Мощность;Цветовая температура;Серия;Количество в упаковке;Гарантия;Тип лампы;Световой поток Лм;Индекс цветопередачи;Рабочее напряжение;Размеры;Время работы, ч;Аналог лампы накаливания;Аналог галогеновой лампы;Аналог КЛЛ;Угол светового пучка;Форма;
http://gauss.ru/product/lampa-gauss-led-elementary-globe-3/;53216;шар;E27;6 Вт;2700K;Elementary;10;1 год;;420;80;180-240V;45х82;25 000;60 Вт;50 Вт;11 Вт;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-globe-4/;53226;шар;E27;6 Вт;4100K;Elementary;10;1 год;;450;80;180-240V;45х82;25 000;60 Вт;50 Вт;11 Вт;240°;;
http://gauss.ru/product/lampa-gauss-led-elementary-globe-5/;53118;шар;E14;8 Вт;2700K;Elementary;10;1 год;;520;80;;45х82;25000;;;;;;
http://gauss.ru/product/lampa-gauss-led-elementary-3/;53128;шар;E14;8 Вт;4100K;Elementary;10;1 год;;540;80;;45х82;25000;;;;;;
http://gauss.ru/product/lampa-gauss-led-elementary-globe-6/;53218;шар;E27;8 Вт;2700K;Elementary;10;1 год;;520;80;;45х82;25000;;;;;;
http://gauss.ru/product/lampa-gauss-led-elementary-globe-7/;53228;шар;E27;8 Вт;4100K;Elementary;10;1 год;;540;80;;45х82;25000;;;;;;
http://gauss.ru/product/lampa-gauss-led-g95-dim/;EB136102114-D;шар;E14;14 Вт;;Gauss;10;3 года;;;90;175-265V;95х128;35 000;120 Вт;120 Вт;25 Вт;;;
http://gauss.ru/product/lampa-gauss-led-g95-dim-2/;EB136102214-D;шар;E14;14 Вт;;Gauss;10;3 года;;;90;175-265V;95х128;35 000;120 Вт;120 Вт;25 Вт;;;
http://gauss.ru/product/lampa-gauss-led-mr16/;101505105-D;софитная;GU5.3;5 Вт;;Gauss;10;3 года;;;90;175-265V;50х45;35 000;60 Вт;50 Вт;11 Вт;;;
http://gauss.ru/product/lampa-gauss-led-mr16-2/;101505205-D;софитная;GU5.3;5 Вт;;Gauss;10;3 года;;;90;175-265V;50х45;35 000;60 Вт;50 Вт;11 Вт;;;
http://gauss.ru/product/lampa-gauss-led-reflector-r39/;106001104;;E14;4 Вт;2700K;Gauss;10;3 года;;350;90;150-265V;40х60;35 000;40 Вт;35 Вт;9 Вт;120°;;
http://gauss.ru/product/lampa-gauss-led-reflector-r39-2/;106001204;;E14;4 Вт;4100K;Gauss;10;3 года;;370;90;150-265V;40х60;35 000;40 Вт;35 Вт;9 Вт;120°;;
http://gauss.ru/product/lampa-gauss-led-reflector-r50/;106001106;;E14;6 Вт;2700K;Gauss;10;3 года;;500;90;150-265V;50х80;35 000;60 Вт;50 Вт;11 Вт;120°;;
http://gauss.ru/product/lampa-gauss-led-reflector-r50-2/;106001206;;E14;6 Вт;4100K;Gauss;10;3 года;;530;90;150-265V;50х80;35 000;60 Вт;50 Вт;11 Вт;120°;;
